hour,date,users,event_count,event_name,day
11,4/15/2019,2,5,6,14
11,4/15/2019,2,2,6,21
11,4/15/2019,13,21,9,45
11,4/15/2019,2,2,0,21
11,4/15/2019,1,1,1,21
11,4/15/2019,17,21,1,1
11,4/15/2019,5,7,2,7
11,4/15/2019,51,94,9,0
11,4/15/2019,26,60,0,0
11,4/15/2019,3,4,3,7
11,4/15/2019,8,11,2,1
11,4/15/2019,15,18,2,0
11,4/15/2019,36,40,1,0
11,4/15/2019,1,1,2,14
11,4/15/2019,1,1,3,14
11,4/15/2019,7,12,5,0
11,4/15/2019,2,2,2,21
11,4/15/2019,97,139,9,1
12,4/15/2019,1,1,5,7
12,4/15/2019,46,57,1,0
12,4/15/2019,2,4,6,21
12,4/15/2019,33,108,6,0
12,4/15/2019,2,4,7,7
12,4/15/2019,32,69,0,0
12,4/15/2019,9,15,5,0
12,4/15/2019,5,6,2,7
12,4/15/2019,55,69,9,7
12,4/15/2019,6,26,3,1
12,4/15/2019,2,2,2,14
12,4/15/2019,5,27,6,7
12,4/15/2019,1,2,9,90
12,4/15/2019,1,1,4,0
12,4/15/2019,4,6,5,1
12,4/15/2019,2,2,1,14
12,4/15/2019,8,31,7,1
12,4/15/2019,2,2,0,14
12,4/15/2019,39,67,9,21
12,4/15/2019,12,17,9,45
12,4/15/2019,1,1,7,14
12,4/15/2019,2,3,2,21
12,4/15/2019,1,2,4,7
12,4/15/2019,2,2,4,1
12,4/15/2019,9,11,0,1
12,4/15/2019,2,3,4,21
12,4/15/2019,25,101,3,0
12,4/15/2019,38,67,9,14
12,4/15/2019,23,89,7,0
12,4/15/2019,1,4,6,45
12,4/15/2019,9,9,1,1
12,4/15/2019,20,30,2,0
12,4/15/2019,41,52,9,0
12,4/15/2019,2,3,0,21
12,4/15/2019,78,96,9,1
12,4/15/2019,6,6,2,1
12,4/15/2019,1,1,1,45
12,4/15/2019,2,4,1,21
12,4/15/2019,11,24,6,1
12,4/15/2019,1,1,3,7
12,4/15/2019,2,4,6,14
12,4/15/2019,5,7,1,7
12,4/15/2019,5,8,0,7
13,4/15/2019,9,11,0,1
13,4/15/2019,15,16,1,1
13,4/15/2019,1,16,3,45
13,4/15/2019,180,307,9,1
13,4/15/2019,2,2,4,21
13,4/15/2019,1,1,3,1
13,4/15/2019,5,9,7,7
13,4/15/2019,21,82,7,0
13,4/15/2019,45,52,1,0
13,4/15/2019,33,56,0,0
13,4/15/2019,3,4,4,14
13,4/15/2019,4,4,4,1
13,4/15/2019,3,3,9,90
13,4/15/2019,6,8,0,7
13,4/15/2019,1,1,2,21
13,4/15/2019,1,1,0,21
13,4/15/2019,3,5,4,7
13,4/15/2019,1,4,6,45
13,4/15/2019,22,26,2,0
13,4/15/2019,3,4,4,0
13,4/15/2019,1,2,6,90
13,4/15/2019,19,37,9,45
13,4/15/2019,4,21,6,21
13,4/15/2019,2,2,5,1
13,4/15/2019,3,4,1,14
13,4/15/2019,2,2,4,90
13,4/15/2019,7,20,6,7
13,4/15/2019,7,8,2,1
13,4/15/2019,2,7,7,14
13,4/15/2019,1,2,5,7
13,4/15/2019,159,297,9,7
13,4/15/2019,32,77,6,0
13,4/15/2019,2,4,2,14
13,4/15/2019,7,14,5,0
13,4/15/2019,90,163,9,21
13,4/15/2019,1,1,5,45
13,4/15/2019,3,3,1,21
13,4/15/2019,6,7,2,7
13,4/15/2019,1,1,0,90
13,4/15/2019,1,1,2,90
13,4/15/2019,21,88,3,0
13,4/15/2019,2,9,3,21
13,4/15/2019,107,198,9,14
13,4/15/2019,3,10,6,14
13,4/15/2019,2,7,3,14
13,4/15/2019,148,225,9,0
13,4/15/2019,2,4,0,14
13,4/15/2019,2,2,1,90
13,4/15/2019,9,15,7,1
13,4/15/2019,12,33,6,1
13,4/15/2019,1,16,7,45
13,4/15/2019,1,2,5,21
13,4/15/2019,7,11,1,7
13,4/15/2019,1,3,7,21
13,4/15/2019,5,20,3,7
14,4/15/2019,1,1,5,21
14,4/15/2019,6,7,4,0
14,4/15/2019,11,20,0,1
14,4/15/2019,4,4,2,21
14,4/15/2019,5,8,0,21
14,4/15/2019,5,7,1,14
14,4/15/2019,3,5,9,90
14,4/15/2019,6,6,4,7
14,4/15/2019,16,66,6,1
14,4/15/2019,7,10,0,7
14,4/15/2019,16,22,9,45
14,4/15/2019,99,127,9,1
14,4/15/2019,3,4,2,45
14,4/15/2019,50,102,0,0
14,4/15/2019,1,1,1,90
